MAE,MSE,MFN,MAPE
12.919802,19.030205,6.790553e-07,0.09850876
10.648247,16.670933,6.982392e-07,0.086073756
12.785404,19.002487,6.687993e-07,0.09878958
9.813845,15.604651,6.925341e-07,0.07886241
13.125321,19.369938,6.750441e-07,0.10022184
10.029787,15.864746,6.927295e-07,0.08103284
13.004755,19.15374,6.733553e-07,0.100081325
10.463059,16.510664,7.0092636e-07,0.08470207
13.027478,19.196291,6.7300874e-07,0.10060585
11.280933,17.471838,7.0797495e-07,0.09175093
12.697368,18.928963,6.7045164e-07,0.09741172
10.026773,15.761466,6.917407e-07,0.080816224
12.822809,18.86242,6.736454e-07,0.09899859
10.3898945,16.500204,7.0170466e-07,0.083346464
12.489962,18.601849,6.681402e-07,0.09642498
10.731746,16.656086,6.975528e-07,0.08775436
13.168703,19.467829,6.733525e-07,0.10125152
10.480942,16.385803,6.9816684e-07,0.08466858
12.235741,18.312424,6.7000326e-07,0.09375773
11.289304,17.493084,7.0982856e-07,0.09159752
12.391008,18.441614,6.692258e-07,0.0962228
10.868039,17.340435,7.1913047e-07,0.08570511
11.78496,17.738585,6.6143093e-07,0.09173277
11.488978,18.160763,7.287755e-07,0.09087584
13.204535,19.513865,6.763896e-07,0.10143718
11.061243,17.41035,7.1748724e-07,0.08819091
12.594986,18.693804,6.698187e-07,0.09712763
10.253937,15.975214,6.9135524e-07,0.08334597
12.416501,18.189972,6.7038656e-07,0.09638329
10.389577,16.038816,6.845233e-07,0.08635926
11.932118,17.744242,6.64615e-07,0.09307885
10.708319,16.775198,7.0345544e-07,0.08676995
11.68003,17.360205,6.665049e-07,0.0910208
9.812292,15.420956,6.8404063e-07,0.08029602
11.574979,17.385557,6.6698306e-07,0.089135654
11.385,17.410843,7.066984e-07,0.093993105
12.206639,18.14817,6.672016e-07,0.095339224
10.148179,15.7761965,6.854427e-07,0.08340578
11.9080925,17.695454,6.660092e-07,0.09210742
11.116473,17.238148,7.0371095e-07,0.09024581
11.637079,17.626797,6.6462115e-07,0.089566424
12.4057,18.876223,7.2428156e-07,0.100721404
11.75096,17.705776,6.6273424e-07,0.09116731
10.536218,16.68124,7.061923e-07,0.08396862
11.743442,17.397774,6.6556663e-07,0.0919044
10.691178,16.83567,7.064469e-07,0.08622969
11.854557,17.633862,6.640542e-07,0.092253335
12.161479,18.36064,7.116446e-07,0.100380816
11.040935,16.777376,6.592572e-07,0.08598937
11.594183,17.940516,7.1800036e-07,0.09331881
11.372968,17.052568,6.652257e-07,0.08843543
11.897016,18.38848,7.216972e-07,0.0953302
11.041671,16.566095,6.6264363e-07,0.08643906
10.445324,16.47166,7.0709416e-07,0.08411695
11.034274,16.762949,6.60395e-07,0.08614529
12.192715,18.811646,7.28622e-07,0.097405024
11.872931,17.730453,6.654989e-07,0.092402644
11.635396,18.142605,7.235182e-07,0.09297896
11.274656,17.13547,6.629524e-07,0.08741124
11.667767,18.127554,7.219919e-07,0.09342348
10.781375,16.351328,6.6220474e-07,0.08334888
10.629733,16.754108,7.129437e-07,0.08507098
10.953185,16.551361,6.608884e-07,0.08571109
12.180285,18.80554,7.3389606e-07,0.097602084
11.190341,16.937527,6.602557e-07,0.0875717
11.228367,17.289597,7.1095207e-07,0.0912879
11.256785,16.942745,6.6530794e-07,0.08701564
11.420503,17.879162,7.265844e-07,0.09071695
11.025486,16.677046,6.607974e-07,0.08644983
11.505086,17.909174,7.2699174e-07,0.09175134
10.915444,16.505913,6.622659e-07,0.08584363
12.27782,18.82185,7.339794e-07,0.09774039
10.473163,15.895281,6.5979157e-07,0.082177214
12.229923,18.780144,7.326364e-07,0.097473234
10.43761,15.850399,6.565898e-07,0.08261182
11.923823,18.504484,7.348488e-07,0.0948181
10.652525,16.123972,6.6021096e-07,0.083525226
11.787,18.218285,7.2881e-07,0.094180584
10.490008,15.862865,6.593379e-07,0.08215089
11.114385,17.393587,7.182379e-07,0.08816329
10.837834,16.344526,6.6079093e-07,0.08439973
12.249201,19.02176,7.444849e-07,0.096797384
10.630344,16.012802,6.5980583e-07,0.08383253
11.8229475,18.555988,7.407472e-07,0.09295271
10.435383,15.87187,6.5869216e-07,0.0821285
11.743162,18.436604,7.4304006e-07,0.09208684
10.544798,15.992636,6.588815e-07,0.08261996
11.219323,17.523788,7.250231e-07,0.08920784
10.458022,15.780654,6.6019044e-07,0.08262527
11.116162,17.441011,7.2696633e-07,0.08832873
10.217059,15.546242,6.5680115e-07,0.08076909
11.618191,18.270973,7.3993e-07,0.090957135
9.837624,14.859731,6.5770314e-07,0.07853176
11.366582,17.616364,7.227284e-07,0.091101356
10.21229,15.441381,6.608941e-07,0.080482356
10.353016,15.982833,6.9969104e-07,0.084332354
10.10351,15.211879,6.583399e-07,0.08076819
11.691294,18.094013,7.259543e-07,0.09272593
9.949786,15.156729,6.5514917e-07,0.07957739
12.423137,19.453955,7.589696e-07,0.09588363
9.807064,14.9293165,6.5494544e-07,0.078841306
12.002279,18.534025,7.392862e-07,0.09492613
9.857747,15.062402,6.563242e-07,0.077644095
11.040722,17.322357,7.2303334e-07,0.08674933
9.95752,15.120865,6.5677386e-07,0.07862366
10.857716,16.818584,7.1459766e-07,0.08729246
9.687777,14.751342,6.535891e-07,0.077538416
9.768888,15.454367,7.070413e-07,0.07825364
9.829968,14.940175,6.5931863e-07,0.0781508
10.26831,16.003868,7.046679e-07,0.082591034
10.009578,15.10761,6.576199e-07,0.08013873
11.059032,17.093693,7.170423e-07,0.08893283
9.9028425,15.059644,6.5658844e-07,0.07907586
10.961134,17.00573,7.177962e-07,0.087112956
10.098473,15.24588,6.5932994e-07,0.08080387
11.198395,17.414967,7.2551666e-07,0.088622384
9.584425,14.77204,6.5429447e-07,0.075974956
10.730954,16.8185,7.2007833e-07,0.08466822
